type,subCity,price,bedRooms,rooms,floor,area,stype
New,vake,471300,2,3,4,100,sale
New,vake,820100,3,5,6,184,sale
New,saburtalo,205000,2,3,10,70,sale
New,saburtalo,205000,2,3,9,84,sale
Old,nadzaladevi,131800,2,3,5,88,sale
New,vera,665700,0,6,11,218,sale
New,saburtalo,205000,2,3,9,84,sale
New,saburtalo,226300,2,3,12,82,sale
New,massive,133100,2,3,8,63,sale
Old,digomi,175700,3,5,2,130,sale
Old,ლილო,35900,1,2,8,40,sale
New,saburtalo,199400,2,3,18,211,sale
New,saburtalo,245000,2,3,7,146,sale
New,didube,165100,1,2,11,67,sale
New,vake,316900,2,3,4,104,sale
New,gldani,234900,3,4,8,145,sale
New,digomi,179700,0,3,9,81,sale
New,isani,226300,2,3,5,100,sale
Old,digomi,127800,1,2,5,68,sale
New,digomi,102000,1,2,5,53,sale
New,saburtalo,242800,0,3,15,92,sale
New,saburtalo,307800,3,4,9,173,sale
New,saburtalo,115800,1,3,10,68,sale
Old,varketili,170000,3,4,9,140,sale
Old,sololaki,106500,2,3,3,126,sale
New,vake,437700,0,4,4,164,sale
New,vake,412700,1,2,14,70,sale
New,saburtalo,256400,1,3,7,107,sale
Old,massive,143800,2,3,14,96,sale
Old,didube,159800,1,2,7,80,sale
New,gldani,119800,1,2,8,55,sale
New,sololaki,295600,0,3,2,95,sale
New,saburtalo,377800,2,3,5,129,sale
New,saburtalo,203000,2,3,8,78,sale
New,saburtalo,273000,1,2,14,90,sale
New,isani,138500,2,3,2,62,sale
New,didube,128000,1,2,8,47,sale
New,saburtalo,199000,2,3,3,70,sale
New,digomi,146400,2,3,4,70,sale
New,saburtalo,151900,1,2,3,48,sale
Old,saburtalo,165100,1,2,4,64,sale
New,ortachala,254000,2,3,2,80,sale
New,vake,445000,2,4,11,198,sale
New,digomi,260000,3,4,5,93,sale
New,saburtalo,144800,1,2,8,44,sale
New,saburtalo,519200,3,6,9,225,sale
New,saburtalo,237000,1,2,3,55,sale
New,digomi,159800,2,4,7,82,sale
New,saburtalo,199700,2,3,18,210,sale
